"SubjectID","dSet","Subjects","Session","Hemisphere","Atlas","Finess","Region","AvgCortThickness","PialArea","SmoothPialArea","WhiteArea","GaussianCurvature","ConvexHullArea","PialFullArea","WhiteFullArea","SmoothPialFullArea","ConvexHullFullArea","PialVol","WhiteVol","GreymatterVol","PialFullVol","WhiteFullVol","GreymatterFullVol","SmoothPialFullVol","subject","At.log","Ae.log","T.log","K","I","S"
"sub-023","IDEAS","sub-023","ses-01","right","hemisphere","hemisphere","hemisphere",2.638359672,101253.5101,37687.2167,80085.88948,NA,39562.096,106097.5906,84687.18557,39878.3806,41753.2599,NA,NA,288045.8252,1051908.607,763862.7821,288045.8252,580414.8686,"sub-023",5.00541008759671,4.57619406484504,0.421334000049337,-0.50416549343493,10.4242721525404,9.04425767980683
"sub-023","IDEAS","sub-023","ses-01","left","hemisphere","hemisphere","hemisphere",2.652198338,97771.63723,37288.96035,79855.27036,NA,39470.95728,102185.2025,84058.54843,39463.79327,41645.79019,NA,NA,262018.8708,1099290.364,837271.4932,262018.8708,605790.4893,"sub-023",4.99021288770195,4.57158027500646,0.423605998570631,-0.512459456770804,10.4090051598497,9.00777754423993
"sub-236","IDEAS","sub-236","ses-01","right","hemisphere","hemisphere","hemisphere",2.576728287,95370.86416,36579.94026,78236.11676,NA,38459.64773,100611.5099,83313.40373,39266.11721,41145.82467,NA,NA,260838.0313,980174.1822,719336.1509,260838.0313,583283.9934,"sub-236",4.97941571781551,4.56324299187923,0.411068625117453,-0.5191037094748,10.3647959599296,9.04174700760415
"sub-236","IDEAS","sub-236","ses-01","left","hemisphere","hemisphere","hemisphere",2.626459435,94749.26127,37089.46719,77697.88805,NA,39222.82357,99923.53627,82725.65693,39737.87593,41871.23231,NA,NA,258454.2809,976444.9562,717990.6752,258454.2809,574560.5374,"sub-236",4.9765758325967,4.5692505945013,0.419370697622773,-0.525302061718539,10.3845678223435,9.00463355546854
"sub-240","IDEAS","sub-240","ses-01","right","hemisphere","hemisphere","hemisphere",2.71061586,106595.1645,38820.39047,83751.7247,NA,40714.04794,112152.0648,89158.14975,41226.90433,43120.56181,NA,NA,316150.6916,1077566.911,761416.2196,316150.6916,621041.5524,"sub-240",5.02773750414085,4.58905989937057,0.433067975085825,-0.49205338252945,10.4829333536831,9.03459529285299
"sub-240","IDEAS","sub-240","ses-01","left","hemisphere","hemisphere","hemisphere",2.689142279,106377.2822,39296.21511,83956.29987,NA,41638.59256,111739.8887,89192.08265,41754.83726,44097.21471,NA,NA,313993.9669,1106620.142,792626.1749,313993.9669,629083.921,"sub-240",5.02684889047205,4.59435072248739,0.429613780784076,-0.501282622245147,10.4804271745276,9.05277436404528
"sub-246","IDEAS","sub-246","ses-01","left","hemisphere","hemisphere","hemisphere",2.630349282,105089.9229,40725.95422,86803.05968,NA,42578.86424,110887.6036,92485.2444,43579.84801,45432.75803,NA,NA,284227.0664,1114028.852,829801.7859,284227.0664,649647.4306,"sub-246",5.02156107341411,4.60987126873563,0.420013421939683,-0.530771301535581,10.4714591860291,9.09968466294431
"sub-246","IDEAS","sub-246","ses-01","right","hemisphere","hemisphere","hemisphere",2.566994245,104959.9577,39780.33582,85460.39497,NA,41817.67955,110549.4461,90925.39297,42558.56568,44595.90941,NA,NA,289861.9247,1089839.024,799977.0995,289861.9247,646421.3639,"sub-246",5.02102364700624,4.59966844505683,0.409424895018329,-0.523849461805628,10.4395418820997,9.1388747767195
"sub-250","IDEAS","sub-250","ses-01","right","hemisphere","hemisphere","hemisphere",2.285580884,98267.76303,36958.09203,82307.30073,NA,38979.67215,103423.3998,87372.36691,39420.69454,41442.27466,NA,NA,230456.6112,985613.5445,755156.9333,230456.6112,572570.3651,"sub-250",4.99241106987328,4.56770954257428,0.358996595064556,-0.537727560812292,10.2781138025767,9.29891408395014
"sub-250","IDEAS","sub-250","ses-01","left","hemisphere","hemisphere","hemisphere",2.325153878,100886.3042,36589.61152,84023.17892,NA,37958.14071,106445.9707,89466.66416,39147.46339,40515.99258,NA,NA,236631.1081,952700.1529,716069.0448,236631.1081,554910.0647,"sub-250",5.00383221267812,4.56335779851049,0.366451699658186,-0.51713918563091,10.300093410505,9.2792340194382
