"SubjectID","lh_bankssts_area","lh_caudalanteriorcingulate_area","lh_caudalmiddlefrontal_area","lh_cuneus_area","lh_entorhinal_area","lh_fusiform_area","lh_inferiorparietal_area","lh_inferiortemporal_area","lh_isthmuscingulate_area","lh_lateraloccipital_area","lh_lateralorbitofrontal_area","lh_lingual_area","lh_medialorbitofrontal_area","lh_middletemporal_area","lh_parahippocampal_area","lh_paracentral_area","lh_parsopercularis_area","lh_parsorbitalis_area","lh_parstriangularis_area","lh_pericalcarine_area","lh_postcentral_area","lh_posteriorcingulate_area","lh_precentral_area","lh_precuneus_area","lh_rostralanteriorcingulate_area","lh_rostralmiddlefrontal_area","lh_superiorfrontal_area","lh_superiorparietal_area","lh_superiortemporal_area","lh_supramarginal_area","lh_frontalpole_area","lh_temporalpole_area","lh_transversetemporal_area","lh_insula_area","lh_WhiteSurfArea_area","BrainSegVolNotVent","eTIV"
"sub-366",1078,621,2668,1650,673,3028,4930,3077,660,5327,2440,3200,1751,2908,1304,1426,1906,755,1695,1905,4347,995,5413,4168,1007,6809,8733,5930,4528,4745,302,380,565,2564,93489.5,1330000,1780000
"sub-368",799,416,1864,1084,442,2671,3513,3121,771,4492,2200,2341,1476,2622,514,1149,1346,618,1180,937,3411,863,4322,3396,476,4575,6109,5532,3505,3483,279,341,401,2152,72400.3,1e+06,1440000
"sub-372",902,484,2289,1171,310,2515,3019,2162,662,4237,1505,2373,1299,2326,503,1019,1723,451,1219,1002,3368,872,4312,2579,498,4199,6009,3712,3202,3149,262,372,395,1764,65862.5,914494,1370000
"sub-374",1154,554,1955,1501,515,3371,5519,4312,1399,5870,3150,3556,2138,3761,721,1152,1890,793,1617,1484,3960,1352,5308,3636,874,6004,7414,6134,4392,4428,324,531,442,2497,93709.9,1200000,1640000
"sub-375",1088,985,2016,926,388,3360,4807,3993,677,4670,2463,2786,1682,3372,611,1298,1215,752,963,812,4304,1115,4664,3201,743,5200,7133,5036,3808,4019,230,446,449,2178,81387.8,1080000,1550000
"sub-376",608,339,2074,1188,362,2414,3162,3206,718,4466,2048,2768,1425,2943,494,1119,1300,612,999,1267,3023,824,3700,3144,658,4681,6016,4347,3172,2866,328,452,405,1828,68955.8,941934,1350000
"sub-378",954,566,2428,982,432,2626,4155,2524,700,4226,2443,2503,1534,2675,527,1189,1687,702,1342,715,4058,990,5243,3321,773,4727,7384,5803,3446,3894,241,433,494,2022,77738.1,1120000,1560000
"sub-038",1039,687,3046,1730,399,3701,4684,4450,1026,5570,3234,3090,1888,3587,879,1329,1833,885,1452,1581,3308,1099,5795,4290,883,6766,8869,4838,3933,4258,317,480,454,2506,93887.6,1150000,1440000
"sub-380",809,569,2255,1490,406,2481,3852,2884,667,4650,2335,2937,1799,2681,583,1247,1814,738,1608,1353,3833,1030,4493,3312,707,5053,7316,4406,3794,3451,222,503,449,2280,78006.1,1090000,1530000
"sub-382",756,667,2632,1282,472,2829,3744,3090,911,4789,2594,2771,1782,2695,697,1203,1800,733,1424,1421,4170,1031,4912,3805,717,5573,7234,4923,3585,3971,311,477,478,2430,81910.5,1090000,1570000
